HYBAS_ID,pixel_id,clase_de_cobertura,pct_2005,pct_2023
6080217860,3,1.1. Bosque,61.41006767061609,54.16731670926218
6080217860,21,3.5 Mosaico de agricultura y/o pastos,32.06927232104446,36.93055086736957
6080217860,33,"5.1 Río, lago u océano",5.4354907183372525,7.038992155049578
6080217860,24,4.2. Infraestructura urbana,0.6985475921003987,1.18180107656509
6080217860,25,4.5. Otra área antrópica sin vegetación,0.30190341927132824,0.44269082650434044
6080217860,68,4.4. Otra área natural sin vegetación,0.01749205529758714,0.08821668968999351
6080217860,30,4.3. Minería,0.0,0.07346663224986598
6080217860,23,"4.1. Playa, duna o banco de arena",0.018532123450416643,0.05086878783838853
6080217860,6,1.4. Bosque inundable,0.03224211273771467,0.024205222465850308
6080217860,11,2.1. Formación natural no forestal inundable,0.01645198714475763,0.0018910330051445552
6080218060,3,1.1. Bosque,66.30193333519739,57.46678099534297
6080218060,21,3.5 Mosaico de agricultura y/o pastos,30.247546438257856,38.9497295567589
6080218060,33,"5.1 Río, lago u océano",2.585598936246229,2.4394259954827744
6080218060,6,1.4. Bosque inundable,0.4184802363621112,0.3885000264074388
6080218060,24,4.2. Infraestructura urbana,0.1492796982717108,0.307258317566539
6080218060,23,"4.1. Playa, duna o banco de arena",0.07689224832934115,0.2671811457100339
6080218060,25,4.5. Otra área antrópica sin vegetación,0.16714355394418398,0.10407637652658297
6080218060,68,4.4. Otra área natural sin vegetación,0.012116354282199211,0.07114474693906717
6080218060,11,2.1. Formación natural no forestal inundable,0.041009199108981945,0.0059028392656867955
6080218010,3,1.1. Bosque,89.06255926243067,85.93095951926986
6080218010,21,3.5 Mosaico de agricultura y/o pastos,9.509787866713133,12.133019141123675
6080218010,33,"5.1 Río, lago u océano",0.8052774296090609,0.8636418601475799
6080218010,24,4.2. Infraestructura urbana,0.2963735073676169,0.505468095673045
6080218010,30,4.3. Minería,0.001427875976477528,0.2243103916797667
6080218010,6,1.4. Bosque inundable,0.21489533445986797,0.19303098357005583
6080218010,23,"4.1. Playa, duna o banco de arena",0.03252879958912869,0.0835307446239354
6080218010,25,4.5. Otra área antrópica sin vegetación,0.059122989651022646,0.03998052734137079
6080218010,68,4.4. Otra área natural sin vegetación,0.0032127209470744385,0.022712152250845684
6080218010,13,2.4. Otra formación natural no forestal,0.003257342071339361,0.002900373077219979
6080218010,11,2.1. Formación natural no forestal inundable,0.011556871184614993,0.0004462112426492275
6080222030,3,1.1. Bosque,80.8152081529291,73.29965630787356
6080222030,21,3.5 Mosaico de agricultura y/o pastos,16.874252190631175,24.300102227100496
6080222030,13,2.4. Otra formación natural no forestal,1.0603648438599935,1.1127733021048611
6080222030,33,"5.1 Río, lago u océano",0.9552654019888844,0.8217721592896935
6080222030,24,4.2. Infraestructura urbana,0.09784795708251107,0.20233526062730994
6080222030,25,4.5. Otra área antrópica sin vegetación,0.05942450521565398,0.08438091390368616
6080222030,23,"4.1. Playa, duna o banco de arena",0.03103070438757208,0.064792487461759
6080222030,6,1.4. Bosque inundable,0.05754100267316098,0.05231428311774293
6080222030,68,4.4. Otra área natural sin vegetación,0.002401465741678568,0.03795257623123384
6080222030,29,2.3. Afloramiento rocoso,0.011253927691395643,0.013231605361013287
6080222030,11,2.1. Formación natural no forestal inundable,0.03291420693006508,0.007910710678470576
6080222030,12,2.2. Herbazal,0.0024956408688032177,0.0024956408688032177
6080222030,30,4.3. Minería,0.0,0.0002825253813739492
6080222040,3,1.1. Bosque,72.97602342171395,67.15179421918467
6080222040,21,3.5 Mosaico de agricultura y/o pastos,23.42531204017748,28.814218919548455
6080222040,33,"5.1 Río, lago u océano",2.9620381890591356,2.8083142539536454
6080222040,23,"4.1. Playa, duna o banco de arena",0.15287175437500117,0.39986213609515636
6080222040,25,4.5. Otra área antrópica sin vegetación,0.25262424321616794,0.26611710478224887
6080222040,30,4.3. Minería,0.0,0.2199099718401612
6080222040,24,4.2. Infraestructura urbana,0.09350316348424507,0.18757444745548302
6080222040,68,4.4. Otra área natural sin vegetación,0.01808516883594006,0.09942108522375426
6080222040,6,1.4. Bosque inundable,0.05472894024698092,0.05089412695977897
6080222040,11,2.1. Formación natural no forestal inundable,0.06481307889110456,0.001893734956642938
6080211350,3,1.1. Bosque,98.35012771853955,97.37463216679927
6080211350,21,3.5 Mosaico de agricultura y/o pastos,1.0681914217300437,2.033218240719944
6080211350,33,"5.1 Río, lago u océano",0.5738768953164792,0.5757803012710945
6080211350,25,4.5. Otra área antrópica sin vegetación,0.0015227247636921508,0.006090899054768603
6080211350,68,4.4. Otra área natural sin vegetación,0.001142043572769113,0.004758514886537972
6080211350,13,2.4. Otra formación natural no forestal,0.0051391960774610085,0.0034261307183073393
6080211350,24,4.2. Infraestructura urbana,0.0,0.0020937465500767073
6080211220,3,1.1. Bosque,80.04058621662786,79.09680588198546
6080211220,21,3.5 Mosaico de agricultura y/o pastos,13.05372503484512,13.626326753511977
6080211220,33,"5.1 Río, lago u océano",3.1628812766993324,4.137036646079143
6080211220,29,2.3. Afloramiento rocoso,3.1378918864189127,2.117635400487293
6080211220,24,4.2. Infraestructura urbana,0.08767829175974855,0.36277701062264517
6080211220,25,4.5. Otra área antrópica sin vegetación,0.2794072344284862,0.33584878833771004
6080211220,23,"4.1. Playa, duna o banco de arena",0.11417566248812466,0.11632992027091946
6080211220,13,2.4. Otra formación natural no forestal,0.03468355030299636,0.11266768204016829
6080211220,68,4.4. Otra área natural sin vegetación,0.08897084642942545,0.08617031131179219
6080211220,30,4.3. Minería,0.0,0.006893624904943375
